945,Tawny,251,213,187,#FBD5BB,ƿ,c6 bf
402,Mahogany Very Light,247,167,119,#F7A777,ǀ,c7 80
3776,Mahogany Light,207,121,57,#CF7939,ǁ,c7 81
301,Mahogany Medium,179,95,43,#B35F2B,ǂ,c7 82
400,Mahogany Dark,143,67,15,#8F430F,ǃ,c7 83
300,Mahogany Very Dark,111,47,0,#6F2F00,Ǆ,c7 84
3823,Yellow Ultra Pale,255,253,227,#FFFDE3,ǅ,c7 85
3855,Autumn Gold Light,250,211,150,#FAD396,ǆ,c7 86
3854,Autumn Gold Medium,242,175,104,#F2AF68,Ǉ,c7 87
3853,Autumn Gold Dark,242,151,70,#F29746,ǈ,c7 88
3827,Golden Brown Pale,247,187,119,#F7BB77,ǉ,c7 89
977,Golden Brown Light,220,156,86,#DC9C56,Ǌ,c7 8a
976,Golden Brown Medium,194,129,66,#C28142,ǋ,c7 8b
3826,Golden Brown,173,114,57,#AD7239,ǌ,c7 8c
975,Golden Brown Dark,145,79,18,#914F12,Ǎ,c7 8d
948,Peach Very Light,254,231,218,#FEE7DA,ǎ,c7 8e
754,Peach Light,247,203,191,#F7CBBF,Ǐ,c7 8f
3771,Terra Cotta Ultra Very Light,244,187,169,#F4BBA9,ǐ,c7 90
758,Terra Cotta Very Light,238,170,155,#EEAA9B,Ǒ,c7 91
3778,Terra Cotta Light,217,137,120,#D98978,ǒ,c7 92
356,Terra Cotta Medium,197,106,91,#C56A5B,Ǔ,c7 93
3830,Terra Cotta,185,85,68,#BC5544,ǔ,c7 94
355,Terra Cotta Dark,152,68,54,#984436,Ǖ,c7 95
3777,Terra Cotta Very Dark,134,48,34,#863022,ǖ,c7 96
3779,Rosewood Ultra Very Light,248,202,200,#F8CAC8,Ǘ,c7 97
3859,Rosewood Light,186,139,124,#BA8B7C,ǘ,c7 98
3858,Rosewood Medium,150,74,63,#964A3F,Ǚ,c7 99
3857,Rosewood Dark,104,37,26,#68251A,ǚ,c7 9a
3774,Desert Sand Very Light,243,225,215,#F3E1D7,Ǜ,c7 9b
950,Desert Sand Light,238,211,196,#EED3C4,ǜ,c7 9c
3064,Desert Sand,196,142,112,#C48E70,ǝ,c7 9d
407,Desert Sand Medium,187,129,97,#BB8161,Ǟ,c7 9e
3773,Desert Sand Dark,182,117,82,#B67552,ǟ,c7 9f
3772,Desert Sand Very Dark,160,108,80,#A06C50,Ǡ,c7 a0
632,Desert Sand Ultra Very Dark,135,85,57,#875539,ǡ,c7 a1
453,Shell Gray Light,215,206,203,#D7CECB,Ǣ,c7 a2
452,Shell Gray Medium,192,179,174,#C0B3AE,ǣ,c7 a3
451,Shell Gray Dark,145,123,115,#917B73,Ǥ,c7 a4
3861,Cocoa Light,166,136,129,#A68881,ǥ,c7 a5
3860,Cocoa,125,93,87,#7D5D57,Ǧ,c7 a6
779,Cocoa Dark,98,75,69,#624B45,ǧ,c7 a7
712,Cream,255,251,239,#FFFBEF,Ǩ,c7 a8
739,Tan Ultra Very Light,248,228,200,#F8E4C8,ǩ,c7 a9
738,Tan Very Light,236,204,158,#ECCC9E,Ǫ,c7 aa
437,Tan Light,228,187,142,#E4BB8E,ǫ,c7 ab
436,Tan,203,144,81,#CB9051,Ǭ,c7 ac
435,Brown Very Light,184,119,72,#B87748,ǭ,c7 ad
434,Brown Light,152,94,51,#985E33,Ǯ,c7 ae
433,Brown Medium,122,69,31,#7A451F,ǯ,c7 af
801,Coffee Brown Dark,101,57,25,#653919,ǰ,c7 b0
898,Coffee Brown Very Dark,73,42,19,#492A13,Ǳ,c7 b1
938,Coffee Brown Ultra Dark,54,31,14,#361F0E,ǲ,c7 b2
3371,Black Brown,30,17,8,#1E1108,ǳ,c7 b3
543,Beige Brown Ultra Very Light,242,227,206,#F2E3CE,Ǵ,c7 b4
3864,Mocha Beige Light,203,182,156,#CBB69C,ǵ,c7 b5
3863,Mocha Beige Medium,164,131,92,#A4835C,Ƕ,c7 b6
